MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,HI_52_WK,LO_52_WK
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,313.35,300.0,300.0,300.0,300.0,120000.0,400,740.0,250.0
N,SM,IPSL,INTEGRATED PERSO SER LTD,81.0,80.0,82.6,80.0,82.6,325200.0,4000,97.95,66.0
N,SM,ISHAN,ISHAN INTERNATIONAL LTD,24.75,25.9,25.95,25.9,25.95,207520.0,8000,69.5,17.2
N,SM,JETKNIT,JET KNITWEARS LTD.,64.3,61.1,61.1,61.1,61.1,274950.0,4500,93.2,61.1
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,43.0,44.0,44.0,43.0,43.0,261600.0,6000,52.5,30.1
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,292.6,299.6,299.6,299.6,299.6,299600.0,1000,330.9,127.0
N,SM,KCK,KCK INDUSTRIES LTD,20.0,17.65,22.25,17.65,22.25,159600.0,8000,31.7,15.4
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,134.0,136.0,138.0,133.0,133.0,3036880.0,22400,239.7,98.6
N,SM,KORE,JAY JALARAM TECHNO LTD,185.0,185.0,189.0,185.0,189.0,559000.0,3000,273.0,50.0
N,SM,KOTYARK,KOTYARK INDUSTRIES LTD,515.6,515.05,538.0,510.85,534.05,13249100.0,25200,857.9,242.0
N,SM,KRISHIVAL,EMPYREAN CASHEWS LIMITED,291.9,296.8,296.8,296.8,296.8,296800.0,1000,321.65,104.65
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,159.0,154.35,157.95,154.35,157.95,937650.0,6000,187.0,53.05
N,SM,LATTEYS,LATTEYS INDUSTRIES LTD,23.75,23.75,24.0,23.75,24.0,4193750.0,175000,166.0,22.6
N,SM,LEMERITE,LE MERITE EXPORTS LIMITED,59.4,57.5,62.1,53.55,57.75,5541600.0,94400,83.95,37.8
N,SM,LLOYDS,LLOYDS LUXURIES LIMITED,42.5,46.9,46.9,45.4,45.45,831300.0,18000,59.9,40.0
N,SM,MADHAVBAUG,VAIDYA SANE AYUR LAB LTD,245.0,239.85,240.0,239.85,240.0,383880.0,1600,252.2,128.95
N,SM,MAHICKRA,MAHICKRA CHEMICAL LIMITED,95.0,93.6,93.6,93.6,93.6,140400.0,1500,105.0,57.0
N,SM,MCON,MCON RASAYAN INDIA LTD,80.35,80.2,80.2,75.6,77.65,3036300.0,39000,96.25,62.5
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,48.8,49.15,49.15,49.15,49.15,147450.0,3000,59.7,28.0
N,SM,MILTON,MILTON INDUSTRIES LIMITED,29.0,27.6,28.9,27.6,28.9,491480.0,17600,30.5,14.85
N,SM,MKPL,M K PROTEINS LIMITED,778.3,778.95,793.95,778.95,793.7,709920.0,900,2439.0,180.0
N,SM,MOXSH,MOXSH OVERSEAS EDUCON LTD,115.0,110.15,110.15,108.0,108.0,613120.0,5600,132.85,68.05
N,SM,MWL,MANGALAM WORLDWIDE LTD,145.95,145.0,150.05,145.0,148.0,2130720.0,14400,150.05,89.0
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,41.9,41.9,43.45,41.9,43.45,172200.0,4000,76.55,30.55
N,SM,NIRMAN,NIRMAN AGRI GENTICS LTD,73.4,77.05,77.05,69.75,77.05,26398020.0,355200,77.05,48.8
N,SM,NPST,NETWORK PEOPLE SRV TECH L,602.0,618.0,620.0,609.0,609.25,1965600.0,3200,620.0,65.35
N,SM,PARTYCRUS,PARTY CRUISERS LIMITED,63.7,66.85,66.85,60.55,60.55,6552800.0,100000,353.9,52.5
N,SM,PERFECT,PERFECT INFRAENGINEER LTD,23.75,22.6,22.6,22.6,22.6,1627200.0,72000,35.15,9.05
N,SM,PHANTOMFX,PHANTOM DIGITAL EFF LTD,251.5,252.0,252.0,235.0,242.2,9387240.0,38400,296.8,151.0
N,SM,PIGL,POWER INSTRUMENT (G) LTD,65.7,68.85,68.9,68.8,68.8,413100.0,6000,76.0,37.75
N,SM,PRECISION,PRECISION METALIKS LTD,32.5,32.3,32.75,32.0,32.5,389100.0,12000,46.75,23.65
N,SM,PRITIKA,PRITIKA ENG COMPO LTD,38.1,37.65,38.15,37.5,38.15,753600.0,20000,47.0,25.15
N,SM,PROPEQUITY,P. E. ANALYTICS LIMITED,155.1,158.0,158.0,157.95,158.0,1137540.0,7200,197.45,130.0
N,SM,QFIL,QUALITY FOILS (INDIA) LTD,102.35,102.5,122.8,102.5,117.45,29625300.0,252000,122.8,95.25
N,SM,QMSMEDI,QMS MEDICAL ALLIED S LTD,162.4,168.0,168.95,150.0,151.65,17042450.0,109000,235.8,121.0
N,SM,QUADPRO,QUADPRO ITES LIMITED,4.6,4.8,4.9,4.65,4.9,229800.0,48000,14.1,4.5
N,SM,RBMINFRA,RBM INFRACON LIMITED,63.65,62.6,62.6,62.05,62.05,749400.0,12000,111.75,52.3
N,SM,RELIABLE,RELIABLE DATA SERVICE LTD,54.0,51.3,56.7,51.3,56.7,1599600.0,28800,70.45,43.0
N,SM,REXPIPES,REX PIPES AND CABLES LTD,40.1,42.1,42.1,42.1,42.1,336800.0,8000,46.4,27.4
N,SM,RICHA,RICHA INFO SYSTEMS LTD,110.0,110.0,110.0,110.0,110.0,110000.0,1000,126.75,56.0
N,SM,RITEZONE,RITE ZONE CHEMCON IND LTD,77.4,70.0,72.9,70.0,72.9,1023200.0,14400,103.0,60.0
N,SM,RMDRIP,R M DRIP & SPRINK SYS LTD,46.9,45.2,46.9,44.55,46.9,909600.0,20000,54.85,12.75
N,SM,SHERA,SHERA ENERGY LIMITED,92.8,92.1,94.0,91.0,92.8,6479700.0,70000,100.8,57.0
N,SM,SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD,60.4,63.4,63.4,63.4,63.4,2282400.0,36000,63.4,13.5
N,SM,SIGMA,SIGMA SOLVE LIMITED,215.0,210.0,215.0,210.0,215.0,1444500.0,6750,721.5,171.8
N,SM,SKP,SKP BEARING INDUSTRI. LTD,185.5,187.8,187.8,178.2,179.1,3621850.0,20000,271.95,77.2
N,SM,SMVD,SMVD POLY PACK LIMITED,13.3,13.95,13.95,13.95,13.95,56358.0,4040,38.7,10.4
N,SM,SOLEX,SOLEX ENERGY LIMITED,400.0,400.0,400.0,400.0,400.0,1440000.0,3600,486.2,113.0
N,SM,SPECTRUM,SPECTRUM ELECTRIC IND LTD,463.0,455.0,461.0,455.0,461.0,916000.0,2000,469.0,58.0
N,SM,SRIVASAVI,SRIVASAVI ADHESIVE TAPE L,74.1,76.85,77.8,75.2,77.8,9996900.0,129000,78.25,35.5
N,SM,SURANI,SURANI STEEL TUBES LTD.,100.9,105.9,105.9,105.9,105.9,2118000.0,20000,105.9,19.0
N,SM,SWARAJ,SWARAJ SUITING LIMITED,62.0,60.7,60.7,59.05,59.25,714000.0,12000,86.0,40.25
N,SM,SWASTIK,SWASTIK PIPE LIMITED,78.5,78.15,78.15,78.0,78.15,468540.0,6000,106.3,71.1
N,SM,SYSTANGO,SYSTANGO TECHNOLOGIES LTD,164.05,163.0,174.0,154.2,170.45,28434640.0,176000,201.35,114.05
N,SM,TAPIFRUIT,TAPI FRUIT PROCESSING LTD,142.3,147.3,147.3,147.3,147.3,220950.0,1500,164.55,44.0
N,SM,TARACHAND,TARA CHAND INFRA SOLN LTD,100.75,101.2,101.2,96.2,96.45,2174300.0,22000,103.7,36.85
N,SM,THEJO,THEJO ENGINEERING LIMITED,1383.2,1389.95,1389.95,1389.95,1389.95,208492.5,150,1500.0,802.0
N,SM,UCL,USHANTI COLOUR CHEM LTD,73.5,75.8,76.0,74.8,76.0,603200.0,8000,85.9,47.0
N,SM,UMA,UMA CONVERTER LIMITED,37.0,37.5,38.0,36.5,36.5,1341800.0,36000,50.4,28.5
N,SM,URAVI,URAVI T AND WEDG LAMP LTD,102.3,97.2,97.2,97.2,97.2,233280.0,2400,236.0,97.2
N,SM,USASEEDS,UPSURGE SEEDS OF AGRI LTD,550.0,577.5,577.5,577.5,577.5,693000.0,1200,911.8,151.0
N,SM,VASA,VASA RETAIL & OVERSEA LTD,11.7,10.55,10.55,10.55,10.55,253200.0,24000,23.75,10.55
N,SM,VEEKAYEM,VEEKAYEM FASH & APP LTD,49.7,51.15,51.25,49.1,49.7,1404800.0,28000,54.0,30.25
N,SM,VELS,VELS FILM INTERNATIONAL L,99.7,99.65,99.65,98.4,98.4,357180.0,3600,113.8,98.4
N,SM,VERTEXPLUS,VERTEXPLUS TECHNOLOGIES L,115.0,111.0,111.0,110.0,110.5,265200.0,2400,117.0,99.1
N,SM,VIAZ,VIAZ TYRES LIMITED,52.0,57.5,57.5,51.4,55.0,861600.0,16000,61.5,47.1
N,SM,VITAL,VITAL CHEMTECH LIMITED,95.8,98.5,98.5,94.05,94.05,2324340.0,24000,172.0,76.0
N,SM,VIVIANA,VIVIANA POWER TECH LTD,127.05,133.0,137.8,123.1,136.35,15332700.0,116000,137.8,67.0
N,SM,VMARCIND,V MARC INDIA LIMITED,44.5,46.5,46.85,45.3,45.85,2071200.0,45000,62.5,29.0
N,SM,VSCL,VADIVARHE SPCLTY CHEM LTD,31.05,32.6,32.6,32.6,32.6,97800.0,3000,48.0,16.75
N,ST,AGUL,A G UNIVERSAL LIMITED,60.1,61.95,61.95,57.55,58.75,2469300.0,42000,61.95,57.25
N,ST,CMMIPL,CMM INFRAPROJECTS LIMITED,4.15,4.15,4.35,4.0,4.1,138750.0,33000,5.55,3.7
N,ST,INFINIUM,INFINIUM PHARMACHEM LTD,188.5,197.9,197.9,197.9,197.9,2572700.0,13000,197.9,141.5
N,ST,INNOVATIVE,INNOVATIVE TYRES & TUBES,2.3,2.25,2.4,2.2,2.4,27300.0,12000,2.9,2.1
N,ST,MOS,MOS UTILITY LIMITED,100.0,105.0,105.0,100.0,104.85,24316960.0,232000,105.0,89.8
N,ST,PATTECH,PATTECH FITWELL TUB COM L,60.6,63.6,63.6,57.6,58.0,6788700.0,111000,63.6,52.55
N,ST,SOTAC,SOTAC PHARMACEUTICALS LTD,113.1,117.9,118.0,114.0,114.05,6423180.0,55200,126.75,110.0
N,ST,SRIRAM,SHRI RAM SWITCHGEARS LTD,5.2,4.95,5.45,4.95,5.45,62400.0,12000,6.7,4.95
N,ST,SSINFRA,S S INFRA DEVP CONSL LTD,6.9,7.2,7.2,7.2,7.2,21600.0,3000,8.1,5.7
